word,phonetic,sentence,chinese
project,/ˈprɒdʒ.ekt/,The team worked on a science project about renewable energy.,n. 项目，计划，工程；课题 v. 投射，放映；预计，预测；伸出，突出
profit,/ˈprɒf.ɪt/,The company made a large profit this year.,n. 利润，收益，盈利 v. 获利，得益；对…有益
profitable,/ˈprɒf.ɪ.tə.bəl/,Investing in education is a profitable decision for your future.,adj. 有利可图的，盈利的；有益的，有用的
profound,/prəˈfaʊnd/,Her book had a profound impact on my thinking.,adj. 深刻的，深远的；深奥的；完全的，极度的
program,/ˈprəʊ.ɡræm/,I wrote a simple program to organize my files.,n. 程序；计划，方案；节目单 v. 为…编程；安排，计划
progressive,/prəˈɡres.ɪv/,The school uses progressive teaching methods.,adj. 进步的，先进的；逐渐的，渐进的 n. 进步人士，改革派
prohibit,/prəˈhɪb.ɪt/,The sign prohibits parking here.,v. 禁止，阻止
prolong,/prəˈlɒŋ/,They decided to prolong their holiday by another week.,v. 延长，拉长
prominent,/ˈprɒm.ɪ.nənt/,She is a prominent scientist in her field.,adj. 著名的，重要的；突出的，显眼的
promise,/ˈprɒm.ɪs/,He made a promise to always be honest.,n. 承诺，诺言；希望，前途 v. 承诺，答应；预示，使很可能
promising,/ˈprɒm.ɪ.sɪŋ/,The young athlete is very promising.,adj. 有希望的，有前途的
promote,/prəˈməʊt/,The company wants to promote its new product.,v. 促进，推动；促销，推广；提升，晋升
prompt,/prɒmpt/,Her question prompted a long discussion.,v. 促使，导致；提示 adj. 迅速的，及时的 n. 提示；付款期限
proof,/pruːf/,Do you have any proof of your identity?,n. 证据，证明；校样 adj. 防…的，耐…的
reservation,/ˌrez.əˈveɪ.ʃən/,I made a reservation at the restaurant for seven o'clock.,n. 预订，预约；保留意见，疑虑；保留地
reserve,/rɪˈzɜːv/,Please reserve a table for two.,v. 预订；保留；储备 n. 储备（物），储藏量；自然保护区；矜持，拘谨
resist,/rɪˈzɪst/,It's hard to resist chocolate cake.,v. 抵抗，抵制；忍住，抗拒
resistance,/rɪˈzɪs.təns/,The material has good resistance to heat.,n. 抵抗，抵制；抵抗力；阻力；电阻
resistant,/rɪˈzɪs.tənt/,These plants are resistant to disease.,adj. 抵抗的，有抵抗力的；耐…的
resilient,/rɪˈzɪl.i.ənt/,Children are often very resilient and recover quickly.,adj. 有弹性的；适应力强的，恢复快的
resort,/rɪˈzɔːt/,We went to a ski resort for our vacation.,n. 度假胜地；求助，诉诸；手段 v. 求助，诉诸
resource,/rɪˈzɔːs/,Water is a precious natural resource.,n. 资源；财力；智谋，应变能力
respect,/rɪˈspekt/,You should always respect your elders.,n. 尊敬，尊重；方面，细节 v. 尊敬，尊重；遵守
respective,/rɪˈspek.tɪv/,After the meeting, they returned to their respective offices.,adj. 各自的，分别的
respond,/rɪˈspɒnd/,How did she respond to the news?,v. 回答，回应；作出反应
response,/rɪˈspɒns/,We are waiting for a response from the manager.,n. 回答，答复；反应，响应
responsibility,/rɪˌspɒn.sɪˈbɪl.ə.ti/,Taking care of a pet is a big responsibility.,n. 责任，职责；责任感
responsible,/rɪˈspɒn.sə.bəl/,Who is responsible for this project?,adj. 有责任的，负责的；可靠的，有责任心的；作为原因的
succeed,/səkˈsiːd/,If you work hard, you will succeed.,v. 成功；接替，继任
success,/səkˈses/,The party was a great success.,n. 成功，成就；成功的人（或事物）
successful,/səkˈses.fəl/,She is a successful businesswoman.,adj. 成功的，有成就的；顺利的
succession,/səkˈseʃ.ən/,There has been a succession of rainy days.,n. 连续，一系列；继任，继承
successive,/səkˈses.ɪv/,They won the championship for three successive years.,adj. 连续的，接连的
successor,/səkˈses.ər/,He was appointed as the successor to the CEO.,n. 接替者，继任者；后继事物
suck,/sʌk/,The baby likes to suck his thumb.,v. 吸，吮；抽吸；糟糕，令人讨厌 n. 吸，吮
sue,/suː/,They decided to sue the company for damages.,v. 控告，提起诉讼
suffer,/ˈsʌf.ər/,Many people suffer from headaches.,v. 遭受，经历；受痛苦，患病；变差，受损
suffice,/səˈfaɪs/,A simple apology will suffice.,v. 足够，满足要求
sufficient,/səˈfɪʃ.ənt/,We have sufficient food for everyone.,adj. 足够的，充足的
suggest,/səˈdʒest/,Can you suggest a good restaurant?,v. 建议，提议；暗示，表明；使想到
suggestion,/səˈdʒes.tʃən/,Thank you for your helpful suggestion.,n. 建议，提议；暗示，联想；微量，迹象
suicide,/ˈsuː.ɪ.saɪd/,Talking about your problems can help prevent suicide.,n. 自杀；自取灭亡的行为
suit,/suːt/,He wore a new suit to the interview.,n. 套装，西装；诉讼 v. 适合，适宜；相配，合身
suitable,/ˈsuː.tə.bəl/,This movie is not suitable for young children.,adj. 合适的，适宜的，适当的
super,/ˈsuː.pər/,That's a super idea!,adj. 极好的，超级的 adv. 特别，非常
superb,/suːˈpɜːb/,The performance was absolutely superb.,adj. 极好的，卓越的，杰出的
superficial,/ˌsuː.pəˈfɪʃ.əl/,He only has a superficial knowledge of the subject.,adj. 表面的，表层的；肤浅的，浅薄的
superfluous,/suːˈpɜː.flu.əs/,The report contained a lot of superfluous details.,adj. 多余的，过剩的，不必要的
superior,/suːˈpɪə.ri.ər/,This product is superior in quality.,adj. 更好的，更优的；有优越感的 n. 上级，长官；更好的人（或物）
superiority,/suːˌpɪə.riˈɒr.ə.ti/,They claimed the superiority of their technology.,n. 优越（性），优势
supervise,/ˈsuː.pə.vaɪz/,The teacher will supervise the exam.,v. 监督，管理，指导
trigger,/ˈtrɪɡ.ər/,The loud noise triggered the alarm.,n. 扳机；起因，诱因 v. 引发，触发；开动
triumph,/ˈtraɪ.ʌmf/,Winning the race was a great triumph for her.,n. 胜利，成功；狂喜 v. 获胜，成功
assure,/əˈʃɔːr/,I can assure you that everything is fine.,v. 向…保证，使确信；确保
assurance,/əˈʃɔː.rəns/,He gave me his assurance that he would help.,n. 保证，担保；把握，信心；保险
astonish,/əˈstɒn.ɪʃ/,The magician's trick astonished the audience.,v. 使惊讶，使吃惊
atmosphere,/ˈæt.mə.sfɪər/,The restaurant has a friendly atmosphere.,n. 大气，大气层；气氛，氛围
council,/ˈkaʊn.səl/,The city council will meet tomorrow.,n. 委员会，理事会；地方议会
counsel,/ˈkaʊn.səl/,She sought legal counsel before signing the contract.,n. 劝告，建议；律师，法律顾问 v. 建议，劝告
drama,/ˈdrɑː.mə/,I enjoy watching historical dramas.,n. 戏剧；戏剧性事件
dramatic,/drəˈmæt.ɪk/,There has been a dramatic increase in prices.,adj. 戏剧的；戏剧性的，激动人心的；急剧的，显著的
exploit,/ɪkˈsplɔɪt/,The company was accused of exploiting its workers.,v. 剥削；利用；开发 n. /ˈek.splɔɪt/ 英勇行为，功绩
explore,/ɪkˈsplɔːr/,They want to explore the possibility of working together.,v. 探索，探究；勘探，勘察
intellectual,/ˌɪn.təlˈek.tʃu.əl/,She enjoys intellectual conversations.,adj. 智力的，脑力的；需智力的 n. 知识分子，脑力劳动者
intelligence,/ɪnˈtel.ɪ.dʒəns/,Dolphins are known for their high intelligence.,n. 智力，智慧；情报，情报机构
intelligent,/ɪnˈtel.ɪ.dʒənt/,He is an intelligent student who asks good questions.,adj. 聪明的，有智慧的；智能的
intelligible,/ɪnˈtel.ɪ.dʒə.bəl/,Please make your instructions more intelligible.,adj. 可理解的，明白易懂的